YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLRSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,5,23,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.96,-4.01,-0.52,3.66,62.25,0.0,80.8,1.28,26.41
2014,1,6,0,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.58,-4.51,-0.96,3.48,61.69,0.0,80.78,1.47,22.88
2014,1,6,1,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.19,-5.13,-1.47,3.36,60.88,0.0,80.76,1.68,22.74
2014,1,6,2,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.05,-6.08,-2.02,3.17,58.12,0.0,80.73,1.81,21.25
2014,1,6,3,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.13,-7.28,-2.57,2.93,53.5,0.0,80.7,1.75,18.76
2014,1,6,4,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.26,-8.36,-3.06,2.75,49.25,0.0,80.69,1.47,15.36
2014,1,6,5,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.12,-9.17,-3.52,2.56,47.0,0.0,80.69,1.34,13.14
2014,1,6,6,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.15,-9.99,-3.92,2.44,44.19,0.0,80.73,1.29,15.8
2014,1,6,7,35.38,0.41,35.12,0.13,86.46,12.17,13.33,1.45,0.01,0.02,2.33,-9.7,-3.68,2.5,44.44,0.0,80.8,1.28,14.55
2014,1,6,8,216.84,0.62,224.45,0.14,75.45,88.58,93.12,9.6,0.07,0.35,5.23,-5.03,0.1,3.6,52.62,0.0,80.89,0.96,7.47
2014,1,6,9,395.8,0.67,420.45,0.09,65.38,166.0,178.15,19.7,0.29,1.42,8.19,-5.76,1.21,3.42,40.94,0.0,80.99,0.92,265.64
2014,1,6,10,544.84,0.72,576.38,0.09,57.19,228.77,245.65,28.53,0.57,2.8,9.75,-4.03,2.86,3.91,41.94,0.0,81.02,2.22,232.73
2014,1,6,11,327.6,0.38,644.92,0.13,51.82,147.75,284.23,21.09,0.52,2.65,10.65,-2.87,3.89,4.21,42.62,0.0,80.98,3.11,226.02
2014,1,6,12,613.05,0.68,646.8,0.07,50.2,263.23,277.88,32.69,0.77,3.88,11.05,-1.99,4.53,4.46,43.94,0.0,80.91,3.36,225.28
2014,1,6,13,574.26,0.67,619.12,0.07,52.65,243.8,262.67,30.41,0.69,3.45,11.04,-1.3,4.87,4.64,45.81,0.0,80.85,3.6,227.02
2014,1,6,14,481.37,0.66,522.67,0.06,58.68,198.55,218.17,24.37,0.46,2.27,10.58,-0.68,4.95,4.82,49.0,0.0,80.82,3.8,229.5
2014,1,6,15,326.92,0.6,360.17,0.04,67.33,134.08,148.52,15.9,0.22,1.05,9.65,-0.21,4.72,4.94,53.56,0.0,80.81,3.52,231.76
2014,1,6,16,153.71,0.52,166.5,0.14,77.71,60.15,66.15,7.05,0.04,0.2,8.04,0.79,4.41,5.37,64.44,0.0,80.83,2.68,230.79
2014,1,6,17,16.88,0.36,14.6,0.12,88.09,5.3,5.58,0.69,0.0,0.02,5.03,1.14,3.08,5.37,79.94,0.0,80.87,1.6,230.34
2014,1,6,18,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.37,0.66,2.51,5.13,79.75,0.0,80.91,0.66,244.65
2014,1,6,19,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,3.91,0.46,2.19,5.07,81.06,0.0,80.96,0.43,19.09
2014,1,6,20,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,3.02,0.26,1.64,4.94,84.81,0.0,80.99,1.03,45.31
2014,1,6,21,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.7,0.02,1.36,4.88,85.12,0.0,81.02,1.23,49.64
2014,1,6,22,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.85,0.06,1.46,4.88,84.25,0.0,81.03,1.02,44.07
2014,1,6,23,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.64,0.08,1.36,4.88,85.38,0.0,81.0,0.95,33.95
2014,1,7,0,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,2.33,-0.04,1.15,4.82,86.25,0.0,80.95,0.93,33.02
2014,1,7,1,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,1.99,-0.31,0.84,4.7,86.69,0.0,80.92,0.96,31.36
2014,1,7,2,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,1.88,-0.76,0.56,4.58,84.81,0.0,80.88,0.95,29.1
2014,1,7,3,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,1.83,-1.32,0.26,4.39,82.19,0.0,80.84,0.88,25.2
